"Theme","Stheme","Phrase","Source"
"Fiscalité","Fraude fiscale","En 2022, envrion 1000 milliards de dollars étaient délocalisés dans les paradis fiscaux (soit 35 % de l'ensemble des bénéfices enregistrés par les entreprises multinationales en dehors de leur pays d'origine)","https://www.taxobservatory.eu/publication/global-tax-evasion-report-2024/"
"Fiscalité","Fraude fiscale","Les pertes de revenus fiscaux pour les entreprises causées par ce transfert sont significatives, équivalant à près de 10 % des recettes fiscales des entreprises collectées à l'échelle mondiale","https://www.taxobservatory.eu/publication/global-tax-evasion-report-2024/"
"Environnement","Limites planétaires","En 2023, 6 des 9 limites planétaires ont été franchies.","https://www.stockholmresilience.org/research/planetary-boundaries.html"
"Inégalités","de revenus","Entre 2003 et 2022 le revenu moyen des 0,1% les plus riches est passé de 469 k€ à 1 030 k€.","https://www.alternatives-economiques.fr/meme-chiffres-de-bercy-plaident-taxer-tres-riches/00113898?utm_source=article_offert&utm_medium=appShare&utm_campaign=ditleurquetuviensdemapart&token=a265d6e3487efd6b86ac"
"Inégalités","de patrimoine","Entre 2003 et 2016 le patrimoine des 0,1% est passé de 5,3M€ à 10,2M€(×2).","https://www.alternatives-economiques.fr/meme-chiffres-de-bercy-plaident-taxer-tres-riches/00113898?utm_source=article_offert&utm_medium=appShare&utm_campaign=ditleurquetuviensdemapart&token=a265d6e3487efd6b86ac"
"Fiscalité","des ménages","En 2019, le taux se prélèvement obligatoire était de 58% pour les 5% les plus pauvres, contre 51% pour les 5% les plus riches, et 47% pour ceux dans la médiane (notamment à cause de la TVA, csg)","https://www.alternatives-economiques.fr/impots-paie-quoi/00112390?utm_source=article_offert&utm_medium=appShare&utm_campaign=ditleurquetuviensdemapart&token=da65ce3286c2db1b83a8"
"Fiscalité","des entreprises","En baissant le taux d imposition des sociétés de 33,3% en 2017 à 25% en 2022, EM à produit un manque à gagner pour l état de 11 milliards d'euros.","Alternative Économique dossier budget 2025"
"Environnement","Montée des eaux","Le CEREMA (centre d'étude des risques de l'environnement la mobilité et l'aménagement) estime qu'en 2050 : 5200 logements, 1400 locaux, 100 bâtiments public, 16 km de routes seront exposés à la montée des eaux.","https://www.alternatives-economiques.fr/bouts-de-france-disparaitront-eaux-xxie-siecle/00111972?utm_campaign=sharing&utm_content=appShare"
"Environnement","Montée des eaux","Le CEREMA estime qu'en 2100, 450 000 logements, 55 000 bâtiments d'activités, 10 000 bâtiments publics, 1 000 campings, 1 800 km de routes, 240 km de voix ferrés sont menacés par la montée des eaux.","https://doc.cerema.fr/Default/digital-viewer/c-597431"
"Environnement","Sécheresse","France Assureur estime qu'avec le réchauffement climatique, le coût des dommages de la sécheresse va passer de 13 milliards pour la période 1989-2019 à 43 milliards pour 2020-2050.","Alternative Économique dossier climat, l urgence de l adaptation"
